Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,Filter0,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Angularity,Ellipticity,Fiber Length,Fiber Width
7789,11195,2.031,2.151,1.929,2.479,1.675,2.536,1.649,1.995,4.193,3.239,6.757,3.279,6.72,0.944,1.48,0.676,0.819,0.671,0.65,0.891,0.988,0.012,0.995,0.78,0,0.169,0,12.955,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.285,0.778,1.152,0.868,13.117,1.802,20.588,1.538,0,0
1968,6141,2.096,2.302,1.854,3.201,1.67,3.203,1.6,1.866,5.192,3.452,7.231,3.553,7.156,0.911,1.916,0.522,0.655,0.429,0.499,0.83,0.972,0.028,0.99,0.646,0,0.22,0,13.808,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.726,0.579,1.11,0.901,14.212,1.762,20.345,2.002,2.44,1.713
8748,12165,2.29,2.414,2.39,2.669,1.655,2.576,1.699,2.418,5.528,4.118,7.583,4.213,7.483,0.949,1.613,0.62,0.858,0.736,0.66,0.9,0.977,0.023,0.987,0.932,0,0.157,0,16.473,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.117,0.895,1.444,0.693,16.853,2.023,22.895,1.516,0,0
9520,12982,2.298,2.368,2.105,2.87,1.655,2.904,1.704,2.143,5.232,4.148,7.441,4.159,7.424,0.97,1.735,0.577,0.801,0.641,0.587,0.942,0.997,0.003,0.998,0.874,0,0.16,0,16.593,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.364,0.733,1.272,0.786,16.636,1.88,17.5,1.705,0,0
8123,11530,2.31,2.422,2.213,3.123,1.653,3.168,1.727,2.21,5.984,4.19,7.608,4.211,7.586,0.954,1.889,0.529,0.74,0.547,0.545,0.91,0.995,0.005,0.997,0.811,0,0.164,0,16.759,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.411,0.709,1.339,0.747,16.843,1.933,15.152,1.834,0,0
2051,6263,2.249,2.371,2.319,2.825,1.652,2.772,1.67,2.321,5.667,3.971,7.449,4.026,7.4,0.948,1.71,0.585,0.796,0.634,0.602,0.899,0.986,0.014,0.993,0.851,0,0.175,0,15.885,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.218,0.821,1.404,0.712,16.103,1.986,14.688,1.66,0,0
1070,5093,2.049,2.168,2.028,2.453,1.646,2.338,1.666,2.077,4.286,3.297,6.812,3.375,6.748,0.945,1.491,0.671,0.835,0.698,0.713,0.893,0.977,0.023,0.991,0.817,0,0.232,0,13.189,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.21,0.827,1.232,0.812,13.499,1.837,16.071,1.403,0,0
9801,13313,2.364,2.497,2.077,2.983,1.645,3.055,1.695,2.185,5.335,4.389,7.845,4.447,7.796,0.947,1.814,0.551,0.793,0.628,0.555,0.896,0.987,0.013,0.994,0.895,0,0.158,0,17.558,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.436,0.696,1.263,0.792,17.788,1.861,23.333,1.802,0,0
8545,11964,1.796,1.971,1.835,2.167,1.641,2.114,1.565,1.821,3.416,2.532,6.192,2.614,6.132,0.911,1.32,0.758,0.829,0.687,0.74,0.83,0.969,0.031,0.99,0.712,0,0.172,0,10.129,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.181,0.847,1.118,0.895,10.455,1.738,19.643,1.351,1.664,1.492
572,4473,2.139,2.251,2.315,2.661,1.638,2.604,1.579,2.31,5.285,3.595,7.072,3.642,7.025,0.95,1.624,0.616,0.804,0.646,0.606,0.903,0.987,0.013,0.993,0.824,0,0.171,0,14.379,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.149,0.87,1.413,0.708,14.57,1.977,20.286,1.649,0,0
1465,5553,1.93,2.002,1.903,2.421,1.637,2.374,1.655,1.976,3.948,2.924,6.289,2.953,6.261,0.964,1.479,0.676,0.797,0.635,0.697,0.929,0.99,0.01,0.996,0.738,0,0.175,0,11.696,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.272,0.786,1.163,0.86,11.814,1.77,19.706,1.434,0,0
8514,11936,2.005,2.073,1.769,2.714,1.637,2.744,1.662,1.775,4.114,3.157,6.514,3.174,6.487,0.967,1.658,0.603,0.739,0.546,0.606,0.935,0.995,0.005,0.996,0.711,0,0.174,0,12.628,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.534,0.652,1.081,0.925,12.697,1.703,17.917,1.651,0,0
7225,10704,1.996,2.183,2.065,2.582,1.632,2.483,1.546,1.976,4.557,3.128,6.857,3.206,6.738,0.914,1.583,0.632,0.773,0.597,0.623,0.836,0.975,0.025,0.983,0.742,0,0.163,0,12.51,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.25,0.8,1.266,0.79,12.825,1.849,26.364,1.606,0,0
9021,12443,1.959,2.037,1.689,2.633,1.631,2.573,1.609,1.702,3.796,3.014,6.399,3.035,6.376,0.962,1.615,0.619,0.744,0.553,0.625,0.925,0.993,0.007,0.996,0.702,0,0.202,0,12.055,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.559,0.641,1.036,0.966,12.141,1.66,18.485,1.6,0,0
876,4863,2.481,2.558,2.326,3.123,1.63,3.177,1.604,2.408,6.2,4.836,8.036,4.866,8.003,0.97,1.915,0.522,0.795,0.632,0.505,0.941,0.994,0.006,0.996,0.95,0,0.159,0,19.345,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.343,0.745,1.426,0.701,19.463,1.978,20.286,1.98,0,0
9808,13317,1.907,1.999,1.851,2.449,1.63,2.335,1.621,1.827,3.868,2.856,6.28,2.908,6.213,0.954,1.503,0.666,0.779,0.606,0.694,0.91,0.982,0.018,0.989,0.715,0,0.211,0,11.422,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.323,0.756,1.136,0.88,11.633,1.74,27.5,1.44,0,0
1978,6155,1.947,2.105,1.706,2.791,1.629,2.83,1.55,1.678,4.061,2.977,6.613,3.033,6.552,0.925,1.713,0.584,0.698,0.487,0.548,0.855,0.981,0.019,0.991,0.655,0,0.172,0,11.906,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.636,0.611,1.047,0.955,12.131,1.668,27.241,1.826,0,0
712,4653,2.211,2.478,2.004,3.299,1.629,3.271,1.526,2.007,5.639,3.841,7.785,3.905,7.743,0.892,2.025,0.494,0.67,0.449,0.466,0.796,0.984,0.016,0.995,0.715,0,0.182,0,15.363,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.646,0.608,1.231,0.813,15.619,1.817,20.69,2.144,2.394,1.914
8359,11769,1.979,2.116,1.79,2.838,1.627,2.774,1.691,1.777,4.329,3.075,6.646,3.117,6.595,0.935,1.744,0.573,0.697,0.486,0.61,0.875,0.986,0.014,0.992,0.666,0,0.182,0,12.299,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.586,0.631,1.1,0.909,12.47,1.709,20.69,1.64,0,0
10120,13788,2.191,2.322,1.867,2.881,1.624,2.983,1.654,1.886,4.571,3.771,7.294,3.837,7.215,0.944,1.774,0.564,0.761,0.579,0.554,0.891,0.983,0.017,0.989,0.806,0,0.169,0,15.084,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.543,0.648,1.15,0.87,15.347,1.745,27.429,1.803,0,0
2318,6580,2.006,2.092,1.871,2.406,1.622,2.388,1.618,1.88,3.823,3.16,6.571,3.196,6.542,0.959,1.483,0.674,0.834,0.695,0.678,0.92,0.989,0.011,0.996,0.81,0,0.176,0,12.641,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.286,0.778,1.153,0.867,12.783,1.747,20.69,1.476,0,0
1091,5119,2.053,2.198,1.685,3.149,1.62,3.105,1.651,1.732,4.503,3.31,6.905,3.345,6.867,0.934,1.943,0.515,0.652,0.425,0.532,0.872,0.99,0.01,0.995,0.649,0,0.176,0,13.239,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.868,0.535,1.04,0.961,13.379,1.653,21.034,1.88,0,0
9407,12848,1.949,2.082,1.965,2.407,1.619,2.285,1.654,1.951,4.01,2.984,6.54,3.062,6.448,0.936,1.487,0.673,0.81,0.656,0.724,0.877,0.975,0.025,0.986,0.766,0,0.228,0,11.937,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.225,0.816,1.214,0.824,12.246,1.792,21.842,1.382,0,0
6469,10033,1.861,2.072,1.848,2.675,1.617,2.586,1.609,1.81,4.185,2.721,6.509,2.813,6.435,0.898,1.654,0.605,0.696,0.484,0.622,0.807,0.967,0.033,0.989,0.629,0,0.274,0,10.885,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1.448,0.691,1.143,0.875,11.251,1.732,23.438,1.608,2.019,1.582
